indeed_会社名,業種,会社名,郵便番号,住所,URL,電話番号,フリーダイヤル,bizmapsで得たURLからの電話番号なら1 junumberからの電話番号なら2
キャル株式会社,IT エンジニア 外国人,株式会社キャル,160-0022,東京都新宿区新宿1丁目1番11号 ザイマックス新宿御苑ビル,http://www.cal-nohara.co.jp/,,,1
プレイネクストラボ株式会社,IT エンジニア 外国人,プレイネクストラボ株式会社,141-0031,東京都品川区西五反田3丁目11番6号 サンウエスト山手ビル4階,http://www.playnext-lab.co.jp/,,,1
株式会社 ヒラテ技研 東京事業所,IT エンジニア 外国人,,,,,,,
株式会社国際テクノロジーセンター,IT エンジニア 外国人,株式会社国際テクノロジーセンター,,東京都品川区東五反田1丁目8-12,,03-5475-3614,,2
株式会社CEGB,IT エンジニア 外国人,株式会社ＣＥＧＢ,112-0004,東京都文京区後楽1-7-27 　後楽鹿島ビル4F,https://cegb.co.jp/company-profile/,03-6778-7966,,1
株式会社SIG,IT エンジニア 外国人,株式会社ＳＩＧ,102-0073,東京都千代田区九段北4-2-1 市ヶ谷スクエアビル8F,https://www.sig-c.co.jp/,03-5213-4685,,1
株式会社パラダイム・システムズ,IT エンジニア 外国人,株式会社パラダイム・システムズ,231-0027,神奈川県横浜市中区扇町3丁目8番8号関内ファーストビル,https://www.pdmsys.co.jp/,,,1
株式会社インテリジェント ウェイブ,IT エンジニア 外国人,株式会社インテリジェントウェイブ,104-0033,東京都中央区新川1-21-2茅場町タワー,https://www.iwi.co.jp/,,,1
株式会社Nurinubi,IT エンジニア 外国人,株式会社Ｎｕｒｉｎｕｂｉ,101-0025,東京都千代田区神田佐久間町3丁目38番地第5東ビル203号,http://nurinubi.com/,03-5809-2975,,1
株式会社jioworks(じおわーくす),IT エンジニア 外国人,株式会社ｊｉｏｗｏｒｋｓ,,東京都新宿区片町2-3菱和ビル7階,,,,
株式会社Japan technology,IT エンジニア 外国人,ＥｃｏＦｌｏｗ　Ｔｅｃｈｎｏｌｏｇｙ　Ｊａｐａｎ株式会社,136-0076,東京都江東区南砂２丁目３６番１１号プライムタワー東陽町８階,https://jp.ecoflow.com/,090-0000-0000,,1
株式会社ネクストプラス,IT エンジニア 外国人,株式会社ネクストプラス,101-0021,東京都千代田区外神田2-10-7 TIビル8F,http://www.next-plus.jp/,03-5577-5266,,1
株式会社野村総合研究所,IT エンジニア 外国人,株式会社野村総合研究所,100-0004,東京都千代田区大手町1-9-2大手町フィナンシャルシティグランキューブ,http://www.nri.com/jp/,05-7967-4421,,1
株式会社インフキュリオン,IT エンジニア 外国人,株式会社インフキュリオン,102-0083,東京都千代田区麹町5-7-2 MFPR麹町ビル7F,http://infcurion.com/company/,08-9719-5168,,1
レバレジーズ株式会社,IT エンジニア 外国人,レバレジーズ株式会社,,東京都渋谷区渋谷,,03-5774-2908,,2
株式会社KINX Japan,IT エンジニア 外国人,株式会社ＫＩＮＸ Ｊａｐａｎ,135-0031,東京都江東区佐賀1-9-11　佐賀YSビル4階,https://www.kinxjp.com/,05-3391-9791,,1
株式会社AOIソリューション,IT エンジニア 外国人,株式会社AOIソリューション,,東京都中央区日本橋人形町3丁目7-13,,03-6661-1580,,2
株式会社STAR CAREER,IT エンジニア 外国人,,,,,,,
KirinSBit株式会社,IT エンジニア 外国人,ＫｉｒｉｎＳＢｉｔ株式会社,133-0044,東京都江戸川区本一色3-32-9,http://www.kirinsbit.co.jp/kaisha_gaiyo.htm,03-3674-5651,,1
株式会社ウインウイン,IT エンジニア 外国人,株式会社ウインウイン,650-0034,兵庫県神戸市中央区京町79 日本ビルヂング10階,https://www.winwin-ad.com/,078-334-1191,,1
ヘイズ・スペシャリスト・リクルートメント・ジャパン株式会社,IT エンジニア 外国人,ヘイズ・スペシャリスト・リクルートメント・ジャパン株式会社,106-6090,東京都港区六本木1丁目6番1号泉ガーデンタワー28階,https://www.hays.co.jp/,,,1
K2パートナーリングソリューションズ株式会社,IT エンジニア 外国人,Ｋ２パートナーリングソリューションズ株式会社,107-6101,東京都港区赤坂5-2-20 赤坂パークビル1階,https://k2partnering.jp/corporate/company.html,03-4588-2620,,1
株式会社JELLYFISH,IT エンジニア 外国人,株式会社JELLYFISH,141-0031,東京都品川区西五反田2丁目24番4号WESTHILL4F,https://www.jellyfish-g.co.jp/ja/,03-5437-0135,,1
東証グロース上場 クラウドソリューションカンパニー,IT エンジニア 外国人,,,,,,,
フォワードソフト株式会社,IT エンジニア 外国人,フォワードソフト株式会社,110-0005,東京都台東区上野7丁目7番6号MPR上野駅前ビル9階,https://www.forward-soft.co.jp/,03-6802-8680,,1
株式会社ハースト・デジタル・ジャパン(株式会社ハースト婦人画報社),IT エンジニア 外国人,株式会社ハースト婦人画報社,107-0062,東京都港区南青山3丁目8番38号南青山東急ビル5階,https://www.hearst.co.jp/,,,1
株式会社 j Career,IT エンジニア 外国人,,,,,,,
株式会社アイデム,IT エンジニア 外国人,株式会社アイデム,160-0022,東京都新宿区新宿1-4-10アイデム本社ビル,http://www.aidem.co.jp/,03-5269-8711,,1
グルーヴ・ギア株式会社,IT エンジニア 外国人,グルーヴ・ギア株式会社,,東京都千代田区九段北1-4-1 日本地所ブルックスビル 9階,,03-6268-9446,,2
株式会社パソナ,IT エンジニア 外国人,株式会社パソナＨＲコンサルティング,100-8228,東京都千代田区大手町2-6-2,https://www.pasona.co.jp/index.html,,,1
レバテックフリーランス,IT エンジニア 外国人,レバレジーズ株式会社,150-6190,東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア24F・25F,http://leverages.jp/,,,1
株式会社キャデット,IT エンジニア 外国人,株式会社キャデット,144-0046,東京都大田区東六郷1丁目27番4号,http://cadetdesign.com/,03-5711-0534,,1
ソレイユ株式会社,IT エンジニア 外国人,株式会社ソレイユ,166-0003,東京都杉並区高円寺南2-35-15花月第一ビル2F,http://ensoleil.chu.jp/,03-5929-7840,,1
Glossom株式会社,IT エンジニア 外国人,Ｇｌｏｓｓｏｍ株式会社,160-0023,東京都新宿区西新宿六丁目18番1号 住友不動産新宿セントラルパークタワー13階,https://www.glossom.co.jp/,03-5770-9547,,1
株式会社iHOLON,IT エンジニア 外国人,,,,,,,
アクロスロード株式会社,IT エンジニア 外国人,アクロスロード株式会社,141-0031,東京都品川区西五反田1-1-8NMF五反田駅前ビル6階,https://www.axrossroad.co.jp/,03-6420-0853,,1
Sansan株式会社,IT エンジニア 外国人,Sansan株式会社,,東京都渋谷区神宮前5-52-2 青山オーバルビル 13F,,03-6419-3033,,2
株式会社グッドマンサービス,IT エンジニア 外国人,株式会社グッドマンサービス,東京都千代田区神田須田町１丁目８－４,東京都千代田区神田須田町１丁目８－４,,03-5207-2962,,2
株式会社アリベル,IT エンジニア 外国人,株式会社アリベル,110-0015,東京都台東区東上野3-13-2 AYビル6階,http://www.aliber.co.jp/introduction/index.html,03-6824-0695,,1
株式会社Dirbato,IT エンジニア 外国人,,,,,,,
株式会社サンライズワークス,IT エンジニア 外国人,株式会社サンライズワークス,110-0015,東京都台東区東上野4-8-1 TIXTOWER UENO 8階,http://sunriseworks.co.jp/,03-6661-4773,,1
株式会社Fittio,IT エンジニア 外国人,株式会社Fittio,163-1424,東京都新宿区西新宿3-20-2 東京オペラシティタワー 24F,https://www.fittio.co.jp/,03-6859-2313,,1
株式会社 Sun Asterisk,IT エンジニア 外国人,,,,,,,
トーテックアメニティ株式会社,IT エンジニア 外国人,トーテックアメニティ株式会社,451-0045,愛知県名古屋市西区名駅二丁目27番8号,https://www.totec.jp/company/outline.html,052-533-6900,,1
株式会社 JointHire Japan,IT エンジニア 外国人,,,,,,,
株式会社アール・エス・アール,IT エンジニア 外国人,株式会社アール・エス・アール,730-0051,広島県広島市中区大手町2丁目7番7号小松ビル,http://rsr.co.jp/,082-246-3400,,1
株式会社 ジョリーグッド,IT エンジニア 外国人,株式会社ジョリーグッド,103-0012,東京都中央区日本橋富沢町10-13 WORK EDITION NIHONBASHI 701,https://jollygood.co.jp/,,,1
すばる交通株式会社,IT エンジニア 外国人,すばる交通株式会社,121-0836,東京都足立区入谷7丁目16番23号,http://www.subaru-t.co.jp/,03-5755-2151,,1
株式会社ティーネットジャパン,IT エンジニア 外国人,Ｓ＆Ｊインターナショナル株式会社,101-0042,東京都千代田区神田東松下町28-16 神田アール・ケイビル4F,https://www.sj-intl.jpn.com/,03-6260-8135,,1
株式会社テクノプロ テクノプロエンジニアリング社,IT エンジニア 外国人,,,,,,,
株式会社コトラ,IT エンジニア 外国人,株式会社コトラ,107-0052,東京都港区赤坂1-7-19キャピタル赤坂ビル2階,https://www.kotora.co.jp/,03-6277-7050,,1
パーソルクロステクノロジー株式会社,IT エンジニア 外国人,,,,,,,
株式会社デジタルハーツ,IT エンジニア 外国人,株式会社デジタルハーツ・ビジュアル,,東京都新宿区西新宿3丁目20-2,,03-5365-3500,,2
ポールトゥウィン株式会社,IT エンジニア 外国人,ポールトゥウィン株式会社,東京都中野区弥生町１丁目９－８,東京都中野区弥生町１丁目９－８,,03-6672-8569,,2
